id,pid,create_time,creator
0,-1,nan,-1
1,0,13.526945,45
2,1,16.235269,14
3,1,18.919352,25
4,2,58.312554,39
5,4,98.555099,63
6,5,125.913460,95
7,6,140.130573,51
8,7,146.944766,36
9,8,169.978917,42
10,9,170.800303,54
11,10,179.629750,76
12,10,180.623834,18
13,10,181.003087,51
14,11,213.599311,14
15,11,214.478791,54
16,15,231.046259,57
17,16,235.847823,52
18,17,241.075930,18
19,17,242.986607,74
20,19,267.995826,77
21,20,284.389593,48
22,20,285.367644,70
23,22,334.313837,98
24,23,351.720990,27
25,24,356.790155,74
26,24,358.337029,12
27,25,361.928474,64
28,27,369.501501,61
29,28,418.780915,5
30,28,420.796409,10
31,29,438.773988,56
32,31,451.085312,85
33,32,511.529338,89
34,33,514.912214,48
35,34,532.832785,55
36,35,547.483799,17
37,36,567.191806,52
38,37,576.262624,5
39,38,585.023080,2
40,39,593.921394,54
41,40,603.731169,29
42,41,639.340620,85
43,41,642.336773,95
44,41,642.952639,69
45,42,653.157603,14
46,45,691.062767,31
47,46,704.544845,63
48,47,758.572688,29
49,48,768.115573,84
50,49,791.321186,95
51,50,799.346272,42
52,51,813.185877,7
53,52,823.960592,51
54,53,829.376786,88
55,54,882.823408,97
56,55,896.397841,95
57,56,902.540615,14
58,57,909.940541,17
59,58,915.234832,71
60,58,916.132419,64
61,59,929.550624,7
62,61,937.211557,74
63,62,991.144519,88
64,63,994.925596,51
65,63,997.669672,17
66,64,1032.650702,45
67,64,1032.997535,77
68,67,1039.642542,57
69,68,1048.651371,96
70,69,1057.745225,64
71,70,1091.179282,98
72,71,1106.180759,23
73,72,1114.253679,18
74,73,1149.364856,48
75,74,1169.661734,93
76,75,1197.781613,27
77,76,1209.335536,10
78,77,1229.743705,7
79,78,1318.901533,8
80,79,1325.645818,25
81,80,1344.155502,10
82,81,1348.947984,84
83,81,1353.941023,84
84,82,1369.896268,26
85,82,1370.806902,19
86,82,1372.960536,99
87,84,1392.646760,42
88,87,1399.287658,98
89,88,1419.477035,92
90,88,1422.104969,84
91,89,1435.695256,12
92,91,1487.183597,71
93,92,1531.442892,56
94,93,1538.746053,41
95,94,1571.536709,99
96,95,1584.114442,92
97,96,1605.432706,48
98,97,1617.719327,13
99,98,1626.549653,78
100,99,1677.809359,63
101,100,1695.007091,92
102,100,1695.043686,53
103,102,1701.131812,70
104,103,1715.212344,21
105,104,1731.221051,28
106,105,1745.145199,29
107,106,1751.292611,45
108,107,1780.792756,49
109,108,1789.116989,0
110,109,1795.955463,6
111,110,1813.707778,56
112,111,1819.545589,7
