id,pid,create_time,creator
0,-1,nan,-1
1,0,13.526945,45
2,1,16.235269,14
3,1,18.919352,25
4,2,35.045390,87
5,4,41.383023,51
6,5,63.074462,4
7,6,83.050574,84
8,7,90.156927,71
9,8,101.267468,11
10,9,122.238178,62
11,9,122.928080,28
12,9,125.190422,48
13,10,140.079267,75
14,13,169.705560,22
15,14,188.356077,20
16,15,200.029221,77
17,16,208.486082,90
18,17,216.317169,12
19,18,230.000061,84
20,19,280.608576,96
21,19,282.697666,67
22,20,296.460551,42
23,22,327.339244,19
24,22,342.317813,19
25,23,346.404026,68
26,25,411.913315,33
27,26,423.111998,22
28,27,435.356876,92
29,28,444.248840,70
30,29,470.109520,44
31,30,478.925267,72
32,31,493.690167,57
33,31,495.022992,20
34,33,519.241974,40
35,34,534.059914,39
36,35,543.125698,96
37,36,559.201503,83
38,37,571.891553,96
39,38,574.902029,91
40,39,575.275897,41
41,40,621.341083,63
42,41,646.867990,2
43,42,650.450453,89
44,43,664.182606,47
45,44,669.649124,44
46,45,705.287584,96
47,46,709.823590,33
48,47,727.543893,55
49,48,734.148612,98
50,49,746.254452,56
51,50,750.455501,25
52,51,766.635692,32
53,51,769.303801,86
54,52,772.934311,2
55,54,779.711846,29
56,54,781.565665,5
57,55,784.490945,2
58,57,826.593995,28
59,58,867.883270,72
60,59,870.190443,2
61,60,875.951022,12
62,61,890.246901,53
63,62,897.470297,52
64,62,898.033791,75
65,63,909.630433,4
66,65,913.031309,81
67,66,920.755955,60
68,67,929.292510,61
69,68,940.014628,70
70,69,947.359011,47
71,70,982.070370,23
72,71,986.717853,98
73,72,995.697739,76
74,73,1000.734156,37
75,74,1024.830165,40
76,75,1058.667446,27
77,76,1069.195957,2
78,76,1074.945485,2
79,77,1075.782686,18
80,79,1084.957746,53
81,80,1098.198988,55
82,81,1127.261679,27
83,82,1141.081832,5
84,83,1171.768193,57
85,84,1175.301344,49
86,85,1211.245564,18
87,86,1223.880066,52
88,86,1225.241980,47
89,87,1229.448128,6
90,89,1236.190614,19
91,89,1237.007852,68
92,90,1240.558444,45
93,92,1246.304370,33
94,93,1260.688607,61
95,94,1289.537424,88
96,95,1302.443235,33
97,96,1306.983046,92
98,96,1308.206863,18
99,97,1321.074758,91
100,99,1323.941424,29
101,100,1327.557244,24
102,101,1360.603574,40
103,102,1363.997784,20
104,103,1370.426716,63
105,104,1375.289538,91
106,105,1378.045990,52
107,106,1394.908913,47
108,106,1397.695574,7
109,107,1427.925780,23
110,109,1437.804184,22
111,109,1441.755516,18
112,110,1442.274757,11
113,110,1442.494339,89
