id,pid,create_time,creator
0,-1,nan,-1
1,0,13.526945,45
2,1,28.501306,30
3,2,50.544372,2
4,3,51.312450,49
5,2,51.551575,2
6,4,58.965464,93
7,6,60.816433,42
8,7,64.011365,44
9,8,79.774762,7
10,9,86.211986,69
11,10,89.189063,48
12,10,89.746071,2
13,11,90.865042,70
14,13,124.782567,90
15,14,128.034383,98
16,14,128.100372,89
17,15,151.685791,17
18,17,164.131609,19
19,18,175.221081,29
20,19,180.556390,61
21,20,194.059776,77
22,20,194.498794,60
23,21,209.492017,73
24,23,255.826625,25
25,24,262.597729,92
26,25,280.449820,20
27,26,284.794803,89
28,27,293.095923,0
29,28,294.840090,74
30,29,319.938974,21
31,30,322.173124,40
32,31,331.065578,13
33,31,338.981759,13
34,32,351.083779,32
35,34,354.195447,42
36,35,355.455786,53
37,36,358.302783,30
38,37,390.361739,37
39,38,409.608717,3
40,39,441.152600,20
41,40,444.347706,75
42,41,453.003345,88
43,41,453.813655,6
44,42,470.422561,77
45,44,475.409637,51
46,45,487.760953,70
47,45,489.980670,18
48,46,503.591961,71
49,48,513.098886,53
50,49,516.813123,49
51,50,518.701298,88
52,51,523.523637,32
53,52,539.342178,88
54,53,541.444228,81
55,54,554.452271,56
56,55,574.226726,87
57,56,579.426005,30
58,57,606.963917,56
59,58,618.410078,74
60,58,619.122569,25
61,58,619.166768,24
62,59,680.728447,13
63,62,688.314634,30
64,63,695.083140,60
65,64,720.566600,74
66,65,746.550178,93
67,66,748.703010,70
68,67,759.362033,14
69,68,774.699880,86
70,69,784.208848,85
71,70,801.662031,28
72,71,810.135729,11
73,72,812.311611,33
74,73,814.238598,2
75,74,818.056181,49
76,74,820.087028,83
77,75,821.419903,71
78,75,821.832050,75
79,77,829.323402,74
80,77,863.626943,74
81,79,869.382739,10
82,81,885.100960,81
83,82,896.787993,72
84,83,901.736197,63
85,84,930.746802,55
86,85,998.711084,14
87,85,1001.362959,37
88,86,1040.602530,74
89,86,1045.005319,74
90,88,1045.909608,61
91,90,1049.282470,18
92,91,1071.008395,84
93,92,1085.430245,91
94,93,1164.049743,20
95,94,1202.279358,92
96,94,1203.996963,39
97,95,1227.030937,61
98,97,1253.710856,70
99,98,1257.678411,71
100,99,1260.134744,2
101,100,1283.079851,29
102,101,1305.087146,75
103,102,1308.942517,77
104,103,1311.968808,44
105,104,1341.625154,6
106,105,1351.094796,18
107,106,1365.642371,41
108,107,1391.252949,57
109,108,1397.127660,10
110,109,1426.136053,78
111,110,1457.993914,75
112,111,1464.033839,31
113,112,1494.908466,5
114,113,1529.755330,42
