id,pid,create_time,creator
0,-1,nan,-1
1,0,13.526945,45
2,1,33.061090,85
3,2,45.549378,27
4,3,54.219955,95
5,4,115.245382,29
6,5,148.708276,42
7,6,162.570381,32
8,7,173.259495,18
9,8,220.392806,2
10,9,223.145621,69
11,10,228.871806,70
12,11,233.033047,99
13,12,242.338256,39
14,13,249.975020,51
15,14,269.583716,73
16,15,297.175069,64
17,16,318.631042,28
18,16,320.027806,97
19,16,321.241652,92
20,17,343.757525,54
21,20,374.836185,2
22,21,384.238417,9
23,22,405.336822,14
24,22,406.552335,31
25,24,411.550297,85
26,25,440.355110,2
27,26,446.511740,32
28,27,457.131931,47
29,28,459.273926,7
30,29,487.679427,10
31,30,516.014404,6
32,31,518.368697,55
33,32,543.068828,84
34,33,584.654285,69
35,34,612.599016,93
36,35,619.012013,17
37,36,643.803508,33
38,37,646.370351,51
39,38,653.781812,52
40,39,660.302679,76
41,40,693.148047,97
42,41,716.874172,76
43,42,718.858720,31
44,43,728.549674,52
45,44,729.377142,96
46,44,747.146244,96
47,45,779.460083,0
48,47,817.255307,27
49,48,823.690319,64
50,49,829.453116,22
51,49,830.352884,8
52,50,833.657499,69
53,52,872.480570,6
54,53,879.198348,78
55,54,882.045853,48
56,54,882.970060,25
57,55,884.882010,29
58,57,891.963893,96
59,57,894.019085,28
60,58,900.821161,17
61,60,904.906871,2
62,61,907.239303,90
63,62,908.273810,47
64,63,914.300586,39
65,64,915.401368,23
66,65,936.791310,31
67,66,946.410966,77
68,67,957.098729,51
69,68,1054.904855,56
70,69,1062.239166,86
71,70,1136.857281,90
72,71,1153.299954,5
73,72,1163.079886,84
74,73,1166.405330,19
75,74,1197.771058,74
76,75,1200.714765,7
77,76,1210.467614,0
78,77,1221.782747,63
79,78,1270.934131,70
80,79,1287.260388,28
81,80,1305.211904,97
82,81,1314.783283,63
83,82,1316.390492,61
84,83,1335.291047,64
85,84,1346.346778,2
86,85,1356.659961,96
87,86,1375.638052,19
88,87,1379.823503,25
89,88,1397.104369,98
90,89,1402.348146,97
91,90,1424.408259,12
92,91,1454.593012,7
93,92,1493.664529,88
94,92,1494.735118,19
95,93,1498.237361,61
96,95,1513.610227,69
97,96,1524.060232,13
98,96,1525.013986,74
99,97,1552.945827,52
100,99,1580.712417,86
101,100,1594.894278,0
102,101,1617.829165,14
103,102,1623.365395,96
104,103,1639.773932,86
105,104,1688.774666,75
106,104,1692.647625,32
107,105,1699.960504,47
108,107,1713.256120,12
109,108,1724.590608,57
110,108,1727.528228,99
111,109,1755.709745,29
112,109,1756.894236,61
113,111,1758.365501,98
