id,pid,create_time,creator
0,-1,nan,-1
1,0,27.053890,45
2,1,83.838246,11
3,2,108.958575,91
4,3,126.413564,51
5,4,141.878596,74
6,5,162.241252,57
7,6,238.014706,56
8,7,248.007266,8
9,8,270.246465,63
10,9,333.028263,37
11,10,365.488666,0
12,11,370.425570,70
13,12,384.075415,48
14,13,470.667166,69
15,14,539.306997,41
16,15,557.327826,11
17,16,587.609377,27
18,17,619.162469,83
19,18,629.990759,78
20,18,630.992669,57
21,19,659.613552,28
22,21,671.343083,55
23,22,678.197778,37
24,23,682.189292,91
25,24,693.003438,8
26,25,698.710495,36
27,26,744.103251,49
28,27,790.723132,37
29,28,806.907025,67
30,29,946.299038,56
31,30,961.463364,43
32,31,974.553727,77
33,32,1053.926369,17
34,33,1092.431387,71
35,34,1115.896079,86
36,35,1131.755195,57
37,35,1179.254509,57
38,36,1186.727477,5
39,38,1190.923735,34
40,39,1197.556036,0
41,40,1238.738486,31
42,41,1254.672475,52
43,42,1263.166462,8
44,42,1263.595301,88
45,44,1339.179664,69
46,45,1462.254306,0
47,46,1475.211712,21
48,47,1492.198892,4
49,48,1523.243552,43
50,49,1574.507296,33
51,50,1583.983895,74
52,51,1588.306313,75
53,52,1616.432733,70
54,53,1653.908242,67
55,54,1730.336232,45
56,55,1739.808363,8
57,56,1756.123700,21
58,57,1762.887764,89
59,57,1763.325584,2
60,59,1783.720597,83
61,60,1863.662765,61
62,61,1871.047476,54
63,62,1897.723242,8
64,63,1920.093623,95
65,64,1926.138506,85
66,65,1946.209540,39
67,66,1959.087822,74
68,67,2052.128819,55
69,68,2109.414393,43
70,69,2136.039580,53
71,70,2159.453728,0
72,71,2163.997339,75
73,72,2177.949031,52
74,73,2217.043948,95
75,74,2289.034230,64
76,75,2316.265327,20
77,76,2324.815709,36
78,77,2379.277950,79
79,78,2383.145552,22
80,79,2412.643109,31
81,80,2425.173236,51
82,81,2483.068652,52
83,82,2539.826182,87
84,83,2543.297763,81
85,84,2549.919885,27
86,85,2556.191068,31
87,86,2560.817810,54
88,87,2619.261665,16
89,87,2628.033025,16
90,88,2661.961286,98
91,90,2666.541172,21
92,91,2683.404778,19
93,92,2688.462344,88
94,92,2688.999414,37
95,93,2697.223682,20
96,95,2718.654732,12
97,96,2728.068388,75
98,97,2745.096263,49
